t0000 | N=65 | RMSE=0.337 px | img=color_t0.png
t0001 | N=81 | RMSE=73.845 px | img=color_t1.png
t0002 | N=88 | RMSE=268.892 px | img=color_t2.png
t0003 | N=88 | RMSE=154.390 px | img=color_t3.png
t0004 | N=78 | RMSE=146.611 px | img=color_t4.png
t0005 | N=77 | RMSE=267.565 px | img=color_t5.png
t0006 | N=88 | RMSE=161.144 px | img=color_t6.png
t0007 | N=88 | RMSE=254.053 px | img=color_t7.png
t0008 | N=83 | RMSE=273.051 px | img=color_t8.png
t0009 | N=88 | RMSE=124.954 px | img=color_t9.png
t0010 | N=75 | RMSE=335.696 px | img=color_t10.png
t0011 | N=86 | RMSE=174.800 px | img=color_t11.png
t0012 | N=66 | RMSE=281.937 px | img=color_t12.png
t0013 | N=83 | RMSE=472.373 px | img=color_t13.png
t0014 | N=88 | RMSE=133.125 px | img=color_t14.png
t0015 | N=77 | RMSE=440.983 px | img=color_t15.png
t0016 | N=88 | RMSE=326.295 px | img=color_t16.png
t0017 | N=77 | RMSE=328.060 px | img=color_t17.png
t0018 | N=59 | RMSE=419.357 px | img=color_t18.png
t0019 | N=88 | RMSE=349.765 px | img=color_t19.png
t0020 | N=88 | RMSE=428.870 px | img=color_t20.png
t0021 | N=88 | RMSE=665.186 px | img=color_t21.png
t0022 | N=88 | RMSE=233.036 px | img=color_t22.png
t0023 | N=79 | RMSE=524.665 px | img=color_t23.png
t0024 | N=88 | RMSE=480.107 px | img=color_t24.png
t0025 | N=88 | RMSE=433.826 px | img=color_t25.png
t0026 | N=75 | RMSE=599.721 px | img=color_t26.png
t0027 | N=88 | RMSE=378.295 px | img=color_t27.png
t0028 | N=62 | RMSE=412.175 px | img=color_t28.png
t0029 | N=85 | RMSE=403.099 px | img=color_t29.png
t0030 | N=88 | RMSE=325.385 px | img=color_t30.png
t0031 | N=61 | RMSE=472.221 px | img=color_t31.png
